Model,Category,Difficulty,Video ID,Frames,Yes Count,Detection Rate,Has Detection,Top 10 Yes Confidences
InstructBLIP,Abuse,medium,Abuse044_x264,131,130,0.9924,True,"[0.86, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85]"
InstructBLIP,Abuse,medium,Abuse045_x264,169,169,1.0,True,"[0.86, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.84, 0.84, 0.84]"
InstructBLIP,Abuse,medium,Abuse046_x264,38,30,0.7895,True,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.79, 0.79, 0.79, 0.78]"
InstructBLIP,Abuse,medium,Abuse047_x264,52,47,0.9038,True,"[0.82, 0.82, 0.82, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]"
InstructBLIP,Abuse,medium,Abuse048_x264,113,113,1.0,True,"[0.86, 0.86, 0.86, 0.86, 0.86, 0.86, 0.85, 0.85, 0.85, 0.85]"
InstructBLIP,Abuse,medium,Abuse049_x264,71,66,0.9296,True,"[0.87, 0.86, 0.86, 0.86, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85]"
InstructBLIP,Abuse,medium,Abuse050_x264,162,158,0.9753,True,"[0.86, 0.86, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85]"
InstructBLIP,Arrest,easy,Arrest001_x264,79,77,0.9747,True,"[0.89, 0.88, 0.88, 0.88, 0.87, 0.87, 0.87, 0.86, 0.86, 0.86]"
InstructBLIP,Arrest,easy,Arrest002_x264,59,47,0.7966,True,"[0.84, 0.83, 0.81, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]"
InstructBLIP,Arrest,easy,Arrest003_x264,101,101,1.0,True,"[0.88, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88, 0.87, 0.87, 0.87]"
InstructBLIP,Arrest,easy,Arrest004_x264,120,111,0.925,True,"[0.9, 0.89, 0.89, 0.89, 0.89, 0.88, 0.88, 0.88, 0.87, 0.87]"
InstructBLIP,Arrest,easy,Arrest005_x264,122,114,0.9344,True,"[0.87, 0.87, 0.86, 0.86, 0.86, 0.85, 0.85, 0.85, 0.85, 0.85]"
InstructBLIP,Arrest,easy,Arrest006_x264,103,97,0.9417,True,"[0.91, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.89, 0.89, 0.89]"
InstructBLIP,Arrest,easy,Arrest007_x264,104,35,0.3365,True,"[0.88, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.86, 0.86, 0.86]"
InstructBLIP,Arrest,easy,Arrest008_x264,212,109,0.5142,True,"[0.91, 0.91, 0.91, 0.91, 0.91, 0.91, 0.91, 0.91, 0.91, 0.91]"
InstructBLIP,Arrest,easy,Arrest009_x264,57,51,0.8947,True,"[0.89, 0.89, 0.89, 0.89, 0.89, 0.88, 0.88, 0.88, 0.88, 0.88]"
InstructBLIP,Arrest,easy,Arrest010_x264,87,7,0.0805,True,"[0.88, 0.87, 0.86, 0.86, 0.81, 0.78, 0.76]"
InstructBLIP,Arrest,easy,Arrest011_x264,73,54,0.7397,True,"[0.92, 0.91, 0.9, 0.9, 0.9, 0.9, 0.9, 0.89, 0.89, 0.89]"
InstructBLIP,Arrest,easy,Arrest012_x264,538,537,0.9981,True,"[0.88, 0.88, 0.88, 0.88, 0.88, 0.87, 0.87, 0.87, 0.87, 0.87]"
InstructBLIP,Arrest,easy,Arrest013_x264,37,18,0.4865,True,"[0.85, 0.83, 0.83, 0.82, 0.82, 0.82, 0.82, 0.82, 0.82, 0.81]"
InstructBLIP,Arrest,easy,Arrest014_x264,51,20,0.3922,True,"[0.86, 0.83, 0.79, 0.79, 0.79, 0.79, 0.78, 0.78, 0.77, 0.77]"
InstructBLIP,Arrest,easy,Arrest015_x264,32,8,0.25,True,"[0.82, 0.8, 0.78, 0.78, 0.78, 0.77, 0.77, 0.76]"
InstructBLIP,Arrest,easy,Arrest016_x264,352,352,1.0,True,"[0.92, 0.92, 0.92, 0.92, 0.92, 0.92, 0.91, 0.91, 0.91, 0.91]"
InstructBLIP,Arrest,easy,Arrest017_x264,114,32,0.2807,True,"[0.8, 0.78, 0.77, 0.77, 0.77, 0.77, 0.76, 0.76, 0.76, 0.76]"
InstructBLIP,Arrest,easy,Arrest018_x264,81,1,0.0123,True,[0.79]
InstructBLIP,Arrest,easy,Arrest019_x264,46,23,0.5,True,"[0.89, 0.88, 0.88, 0.88, 0.87, 0.87, 0.87, 0.87, 0.87, 0.86]"
InstructBLIP,Arrest,easy,Arrest020_x264,98,68,0.6939,True,"[0.89, 0.87, 0.87, 0.86, 0.86, 0.86, 0.85, 0.85, 0.85, 0.85]"
InstructBLIP,Arrest,easy,Arrest021_x264,291,274,0.9416,True,"[0.89, 0.89, 0.89, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88]"
InstructBLIP,Arrest,easy,Arrest022_x264,53,26,0.4906,True,"[0.85, 0.84, 0.84, 0.83, 0.83, 0.83, 0.83, 0.83, 0.82, 0.82]"
InstructBLIP,Arrest,easy,Arrest023_x264,60,60,1.0,True,"[0.87, 0.86, 0.86, 0.86, 0.86, 0.85, 0.85, 0.85, 0.85, 0.85]"
InstructBLIP,Arrest,easy,Arrest024_x264,120,87,0.725,True,"[0.91, 0.91, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]"
InstructBLIP,Arrest,easy,Arrest025_x264,35,35,1.0,True,"[0.89, 0.88, 0.88, 0.88, 0.88, 0.87, 0.87, 0.87, 0.87, 0.87]"
InstructBLIP,Arrest,easy,Arrest026_x264,216,216,1.0,True,"[0.9, 0.9, 0.9, 0.89, 0.89, 0.89, 0.89, 0.89, 0.89, 0.89]"
InstructBLIP,Arrest,easy,Arrest027_x264,56,12,0.2143,True,"[0.82, 0.76, 0.75, 0.75, 0.75, 0.75, 0.75, 0.74, 0.74, 0.73]"
InstructBLIP,Arrest,easy,Arrest028_x264,83,82,0.988,True,"[0.88, 0.88, 0.88, 0.88, 0.88, 0.87, 0.87, 0.87, 0.87, 0.87]"
InstructBLIP,Arrest,easy,Arrest029_x264,258,233,0.9031,True,"[0.89, 0.89, 0.88, 0.88, 0.88, 0.88, 0.88, 0.87, 0.87, 0.87]"
InstructBLIP,Arrest,easy,Arrest030_x264,288,269,0.934,True,"[0.88, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88, 0.87, 0.87, 0.87]"
InstructBLIP,Arrest,easy,Arrest031_x264,61,47,0.7705,True,"[0.8, 0.79, 0.79, 0.79, 0.79, 0.79, 0.78, 0.78, 0.78, 0.78]"
InstructBLIP,Arrest,easy,Arrest032_x264,56,55,0.9821,True,"[0.87, 0.87, 0.87, 0.87, 0.86, 0.86, 0.86, 0.86, 0.86, 0.86]"
InstructBLIP,Arrest,easy,Arrest033_x264,258,237,0.9186,True,"[0.89, 0.89, 0.89, 0.89, 0.89, 0.88, 0.88, 0.88, 0.88, 0.88]"
InstructBLIP,Arrest,easy,Arrest034_x264,387,387,1.0,True,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.89, 0.89, 0.89]"
InstructBLIP,Arrest,easy,Arrest035_x264,206,170,0.8252,True,"[0.88, 0.88, 0.88, 0.88, 0.88, 0.88, 0.87, 0.87, 0.87, 0.87]"
InstructBLIP,Arrest,easy,Arrest036_x264,127,127,1.0,True,"[0.89, 0.89, 0.89, 0.89, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88]"
InstructBLIP,Arrest,easy,Arrest037_x264,71,63,0.8873,True,"[0.84, 0.82, 0.81, 0.81, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]"
InstructBLIP,Arrest,easy,Arrest038_x264,73,73,1.0,True,"[0.89, 0.88, 0.88, 0.88, 0.88, 0.87, 0.87, 0.87, 0.87, 0.87]"
InstructBLIP,Arrest,easy,Arrest039_x264,527,289,0.5484,True,"[0.88, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87]"
InstructBLIP,Arrest,easy,Arrest040_x264,59,39,0.661,True,"[0.88, 0.88, 0.87, 0.87, 0.87, 0.87, 0.87, 0.86, 0.86, 0.86]"
InstructBLIP,Arrest,easy,Arrest041_x264,128,91,0.7109,True,"[0.88, 0.88, 0.88, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.86]"
InstructBLIP,Arrest,easy,Arrest042_x264,53,42,0.7925,True,"[0.88, 0.87, 0.87, 0.87, 0.87, 0.87, 0.86, 0.86, 0.86, 0.86]"
InstructBLIP,Arrest,easy,Arrest043_x264,359,356,0.9916,True,"[0.89, 0.89, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88]"
InstructBLIP,Arrest,easy,Arrest044_x264,113,62,0.5487,True,"[0.9, 0.9, 0.89, 0.89, 0.89, 0.89, 0.89, 0.89, 0.89, 0.89]"
InstructBLIP,Arrest,easy,Arrest046_x264,262,256,0.9771,True,"[0.88, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88]"
InstructBLIP,Arrest,easy,Arrest047_x264,2102,1271,0.6047,True,"[0.9, 0.89, 0.89, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88]"
InstructBLIP,Arrest,easy,Arrest048_x264,135,105,0.7778,True,"[0.88, 0.87, 0.87, 0.87, 0.87, 0.87, 0.86, 0.86, 0.86, 0.86]"
InstructBLIP,Arrest,easy,Arrest049_x264,393,376,0.9567,True,"[0.93, 0.92, 0.92, 0.92, 0.92, 0.92, 0.92, 0.92, 0.91, 0.91]"
InstructBLIP,Arrest,easy,Arrest050_x264,245,164,0.6694,True,"[0.86, 0.86, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85]"
InstructBLIP,Arrest,easy,Arrest051_x264,360,29,0.0806,True,"[0.84, 0.82, 0.82, 0.82, 0.81, 0.81, 0.8, 0.8, 0.8, 0.79]"
InstructBLIP,Arrest,hard,Arrest001_x264,79,79,1.0,True,"[0.84, 0.84, 0.84, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83]"
InstructBLIP,Arrest,hard,Arrest002_x264,59,59,1.0,True,"[0.85, 0.85, 0.85, 0.85, 0.84, 0.84, 0.84, 0.84, 0.84, 0.84]"
InstructBLIP,Arrest,hard,Arrest003_x264,101,101,1.0,True,"[0.87, 0.86, 0.86, 0.86, 0.86, 0.86, 0.86, 0.86, 0.86, 0.86]"
InstructBLIP,Arrest,hard,Arrest004_x264,120,120,1.0,True,"[0.81, 0.81, 0.81, 0.81, 0.81, 0.81, 0.81, 0.81, 0.81, 0.8]"
InstructBLIP,Arrest,hard,Arrest005_x264,122,122,1.0,True,"[0.81, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]"
InstructBLIP,Arrest,hard,Arrest006_x264,103,103,1.0,True,"[0.85, 0.84, 0.84, 0.84, 0.84, 0.84, 0.84, 0.84, 0.84, 0.84]"
InstructBLIP,Arrest,hard,Arrest007_x264,104,103,0.9904,True,"[0.82, 0.81, 0.81, 0.81, 0.81, 0.81, 0.81, 0.8, 0.8, 0.8]"
InstructBLIP,Arrest,hard,Arrest008_x264,212,212,1.0,True,"[0.84, 0.84, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83]"
InstructBLIP,Arrest,hard,Arrest009_x264,57,57,1.0,True,"[0.84, 0.84, 0.84, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83]"
InstructBLIP,Arrest,hard,Arrest010_x264,87,86,0.9885,True,"[0.82, 0.81, 0.81, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.79]"
InstructBLIP,Arrest,hard,Arrest011_x264,73,73,1.0,True,"[0.83, 0.83, 0.83, 0.83, 0.82, 0.82, 0.82, 0.82, 0.82, 0.82]"
InstructBLIP,Arrest,hard,Arrest012_x264,538,538,1.0,True,"[0.83, 0.83, 0.82, 0.82, 0.82, 0.82, 0.82, 0.82, 0.82, 0.82]"
InstructBLIP,Arrest,hard,Arrest013_x264,37,37,1.0,True,"[0.81, 0.81, 0.81, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]"
InstructBLIP,Arrest,hard,Arrest014_x264,51,51,1.0,True,"[0.77, 0.77, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76]"
InstructBLIP,Arrest,hard,Arrest015_x264,32,32,1.0,True,"[0.81, 0.79, 0.79, 0.79, 0.78, 0.77, 0.77, 0.77, 0.77, 0.77]"
InstructBLIP,Arrest,hard,Arrest016_x264,352,352,1.0,True,"[0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85]"
InstructBLIP,Arrest,hard,Arrest017_x264,114,114,1.0,True,"[0.84, 0.82, 0.78, 0.78, 0.78, 0.77, 0.77, 0.77, 0.77, 0.77]"
InstructBLIP,Arrest,hard,Arrest018_x264,81,81,1.0,True,"[0.79, 0.78, 0.78, 0.78, 0.78, 0.78, 0.78, 0.77, 0.77, 0.77]"
InstructBLIP,Arrest,hard,Arrest019_x264,46,46,1.0,True,"[0.81, 0.81, 0.81, 0.81, 0.8, 0.8, 0.8, 0.79, 0.79, 0.78]"
InstructBLIP,Arrest,hard,Arrest020_x264,98,98,1.0,True,"[0.82, 0.82, 0.82, 0.82, 0.82, 0.82, 0.82, 0.82, 0.82, 0.82]"
InstructBLIP,Arrest,hard,Arrest021_x264,291,291,1.0,True,"[0.86, 0.86, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85]"
InstructBLIP,Arrest,hard,Arrest022_x264,53,53,1.0,True,"[0.82, 0.81, 0.81, 0.81, 0.81, 0.8, 0.8, 0.8, 0.8, 0.8]"
InstructBLIP,Arrest,hard,Arrest023_x264,60,60,1.0,True,"[0.84, 0.84, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83]"
InstructBLIP,Arrest,hard,Arrest024_x264,120,120,1.0,True,"[0.84, 0.84, 0.84, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.82]"
InstructBLIP,Arrest,hard,Arrest025_x264,35,35,1.0,True,"[0.84, 0.83, 0.83, 0.83, 0.83, 0.83, 0.82, 0.82, 0.82, 0.82]"
InstructBLIP,Arrest,hard,Arrest026_x264,216,216,1.0,True,"[0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79]"
InstructBLIP,Arrest,hard,Arrest027_x264,56,56,1.0,True,"[0.79, 0.78, 0.78, 0.78, 0.77, 0.77, 0.77, 0.77, 0.77, 0.77]"
InstructBLIP,Arrest,hard,Arrest028_x264,83,83,1.0,True,"[0.85, 0.84, 0.84, 0.84, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83]"
InstructBLIP,Arrest,hard,Arrest029_x264,258,258,1.0,True,"[0.83, 0.82, 0.81, 0.81, 0.81, 0.81, 0.81, 0.81, 0.81, 0.8]"
InstructBLIP,Arrest,hard,Arrest030_x264,288,288,1.0,True,"[0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.82, 0.82]"
InstructBLIP,Arrest,hard,Arrest031_x264,61,61,1.0,True,"[0.78, 0.78, 0.78, 0.78, 0.78, 0.78, 0.78, 0.78, 0.78, 0.78]"
InstructBLIP,Arrest,hard,Arrest032_x264,56,56,1.0,True,"[0.81, 0.81, 0.81, 0.81, 0.81, 0.8, 0.8, 0.8, 0.8, 0.8]"
InstructBLIP,Arrest,hard,Arrest033_x264,258,258,1.0,True,"[0.84, 0.84, 0.83, 0.83, 0.81, 0.81, 0.81, 0.81, 0.81, 0.81]"
InstructBLIP,Arrest,hard,Arrest034_x264,387,387,1.0,True,"[0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85]"
InstructBLIP,Arrest,hard,Arrest035_x264,206,206,1.0,True,"[0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83]"
InstructBLIP,Arrest,hard,Arrest036_x264,127,127,1.0,True,"[0.82, 0.79, 0.78, 0.78, 0.78, 0.78, 0.78, 0.78, 0.78, 0.78]"
InstructBLIP,Arrest,hard,Arrest037_x264,71,71,1.0,True,"[0.77, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76]"
InstructBLIP,Arrest,hard,Arrest038_x264,73,73,1.0,True,"[0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.82, 0.82]"
InstructBLIP,Arrest,hard,Arrest039_x264,527,527,1.0,True,"[0.83, 0.82, 0.82, 0.82, 0.82, 0.82, 0.82, 0.82, 0.82, 0.82]"
InstructBLIP,Arrest,hard,Arrest040_x264,59,59,1.0,True,"[0.81, 0.81, 0.81, 0.81, 0.81, 0.81, 0.81, 0.81, 0.81, 0.81]"
InstructBLIP,Arrest,hard,Arrest041_x264,128,128,1.0,True,"[0.85, 0.85, 0.85, 0.84, 0.84, 0.84, 0.84, 0.84, 0.84, 0.84]"
InstructBLIP,Arrest,hard,Arrest042_x264,53,53,1.0,True,"[0.84, 0.84, 0.84, 0.84, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83]"
InstructBLIP,Arrest,hard,Arrest043_x264,359,359,1.0,True,"[0.83, 0.83, 0.83, 0.83, 0.82, 0.79, 0.79, 0.79, 0.79, 0.79]"
InstructBLIP,Arrest,hard,Arrest044_x264,113,112,0.9912,True,"[0.87, 0.85, 0.81, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]"
InstructBLIP,Arrest,hard,Arrest046_x264,262,262,1.0,True,"[0.85, 0.85, 0.85, 0.85, 0.84, 0.84, 0.84, 0.84, 0.84, 0.84]"
InstructBLIP,Arrest,hard,Arrest047_x264,2102,2101,0.9995,True,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]"
InstructBLIP,Arrest,hard,Arrest048_x264,135,135,1.0,True,"[0.79, 0.78, 0.78, 0.78, 0.78, 0.78, 0.78, 0.78, 0.78, 0.78]"
InstructBLIP,Arrest,hard,Arrest049_x264,393,393,1.0,True,"[0.85, 0.84, 0.84, 0.84, 0.84, 0.84, 0.84, 0.84, 0.84, 0.84]"
InstructBLIP,Arrest,hard,Arrest050_x264,245,244,0.9959,True,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]"
InstructBLIP,Arrest,hard,Arrest051_x264,360,360,1.0,True,"[0.8, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.78, 0.78]"
InstructBLIP,Arrest,medium,Arrest001_x264,79,79,1.0,True,"[0.86, 0.85, 0.85, 0.85, 0.84, 0.84, 0.84, 0.83, 0.83, 0.82]"
InstructBLIP,Arrest,medium,Arrest002_x264,59,57,0.9661,True,"[0.81, 0.81, 0.81, 0.8, 0.8, 0.8, 0.8, 0.8, 0.79, 0.79]"
InstructBLIP,Arrest,medium,Arrest003_x264,101,101,1.0,True,"[0.86, 0.86, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85]"
InstructBLIP,Arrest,medium,Arrest004_x264,120,119,0.9917,True,"[0.85, 0.85, 0.85, 0.85, 0.84, 0.84, 0.84, 0.84, 0.84, 0.84]"
InstructBLIP,Arrest,medium,Arrest005_x264,122,85,0.6967,True,"[0.81, 0.81, 0.81, 0.81, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]"
InstructBLIP,Arrest,medium,Arrest006_x264,103,97,0.9417,True,"[0.88, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87]"
InstructBLIP,Arrest,medium,Arrest007_x264,104,59,0.5673,True,"[0.86, 0.85, 0.85, 0.85, 0.85, 0.85, 0.84, 0.84, 0.84, 0.84]"
InstructBLIP,Arrest,medium,Arrest008_x264,212,117,0.5519,True,"[0.86, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85]"
InstructBLIP,Arrest,medium,Arrest009_x264,57,54,0.9474,True,"[0.86, 0.86, 0.86, 0.86, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85]"
InstructBLIP,Arrest,medium,Arrest010_x264,87,15,0.1724,True,"[0.85, 0.85, 0.85, 0.84, 0.84, 0.82, 0.81, 0.78, 0.78, 0.77]"
InstructBLIP,Arrest,medium,Arrest011_x264,73,63,0.863,True,"[0.87, 0.86, 0.86, 0.86, 0.86, 0.86, 0.85, 0.85, 0.85, 0.85]"
InstructBLIP,Arrest,medium,Arrest012_x264,538,538,1.0,True,"[0.88, 0.87, 0.87, 0.87, 0.87, 0.87, 0.86, 0.86, 0.86, 0.86]"
InstructBLIP,Arrest,medium,Arrest013_x264,37,23,0.6216,True,"[0.86, 0.86, 0.86, 0.86, 0.86, 0.85, 0.85, 0.85, 0.85, 0.85]"
InstructBLIP,Arrest,medium,Arrest014_x264,51,11,0.2157,True,"[0.79, 0.78, 0.77, 0.77, 0.76, 0.76, 0.76, 0.75, 0.75, 0.75]"
InstructBLIP,Arrest,medium,Arrest015_x264,32,7,0.2188,True,"[0.79, 0.79, 0.77, 0.77, 0.76, 0.76, 0.74]"
InstructBLIP,Arrest,medium,Arrest016_x264,352,352,1.0,True,"[0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87]"
InstructBLIP,Arrest,medium,Arrest017_x264,114,68,0.5965,True,"[0.8, 0.79, 0.79, 0.78, 0.78, 0.78, 0.77, 0.77, 0.77, 0.77]"
InstructBLIP,Arrest,medium,Arrest018_x264,81,4,0.0494,True,"[0.77, 0.77, 0.76, 0.76]"
InstructBLIP,Arrest,medium,Arrest019_x264,46,26,0.5652,True,"[0.86, 0.86, 0.85, 0.85, 0.84, 0.84, 0.83, 0.83, 0.82, 0.82]"
InstructBLIP,Arrest,medium,Arrest020_x264,98,88,0.898,True,"[0.87, 0.86, 0.86, 0.86, 0.86, 0.86, 0.85, 0.85, 0.85, 0.85]"
InstructBLIP,Arrest,medium,Arrest021_x264,291,278,0.9553,True,"[0.87, 0.86, 0.86, 0.86, 0.86, 0.86, 0.86, 0.86, 0.86, 0.86]"
InstructBLIP,Arrest,medium,Arrest022_x264,53,22,0.4151,True,"[0.82, 0.82, 0.8, 0.8, 0.79, 0.79, 0.79, 0.79, 0.78, 0.78]"
InstructBLIP,Arrest,medium,Arrest023_x264,60,60,1.0,True,"[0.84, 0.83, 0.83, 0.83, 0.83, 0.83, 0.82, 0.82, 0.82, 0.82]"
InstructBLIP,Arrest,medium,Arrest024_x264,120,88,0.7333,True,"[0.84, 0.83, 0.82, 0.82, 0.82, 0.82, 0.82, 0.82, 0.81, 0.81]"
InstructBLIP,Arrest,medium,Arrest025_x264,35,35,1.0,True,"[0.86, 0.86, 0.86, 0.85, 0.85, 0.85, 0.85, 0.85, 0.84, 0.84]"
InstructBLIP,Arrest,medium,Arrest026_x264,216,216,1.0,True,"[0.86, 0.86, 0.86, 0.86, 0.86, 0.86, 0.85, 0.85, 0.85, 0.85]"
InstructBLIP,Arrest,medium,Arrest027_x264,56,3,0.0536,True,"[0.78, 0.76, 0.75]"
InstructBLIP,Arrest,medium,Arrest028_x264,83,82,0.988,True,"[0.87, 0.86, 0.86, 0.86, 0.86, 0.86, 0.86, 0.85, 0.85, 0.85]"
InstructBLIP,Arrest,medium,Arrest029_x264,258,236,0.9147,True,"[0.86, 0.86, 0.86, 0.86, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85]"
InstructBLIP,Arrest,medium,Arrest030_x264,288,273,0.9479,True,"[0.86, 0.86, 0.85, 0.85, 0.85, 0.85, 0.84, 0.84, 0.84, 0.84]"
InstructBLIP,Arrest,medium,Arrest031_x264,61,50,0.8197,True,"[0.79, 0.78, 0.78, 0.78, 0.78, 0.78, 0.78, 0.78, 0.77, 0.77]"
InstructBLIP,Arrest,medium,Arrest032_x264,56,56,1.0,True,"[0.85, 0.85, 0.84, 0.84, 0.84, 0.84, 0.84, 0.84, 0.84, 0.84]"
InstructBLIP,Arrest,medium,Arrest033_x264,258,241,0.9341,True,"[0.86, 0.86, 0.86, 0.86, 0.86, 0.86, 0.86, 0.86, 0.86, 0.86]"
InstructBLIP,Arrest,medium,Arrest034_x264,387,387,1.0,True,"[0.87, 0.87, 0.87, 0.87, 0.86, 0.86, 0.86, 0.86, 0.86, 0.86]"
InstructBLIP,Arrest,medium,Arrest035_x264,206,169,0.8204,True,"[0.84, 0.84, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83]"
InstructBLIP,Arrest,medium,Arrest036_x264,127,127,1.0,True,"[0.86, 0.86, 0.86, 0.86, 0.86, 0.86, 0.86, 0.86, 0.86, 0.86]"
InstructBLIP,Arrest,medium,Arrest037_x264,71,55,0.7746,True,"[0.76, 0.76, 0.75, 0.75, 0.75, 0.75, 0.74, 0.74, 0.74, 0.74]"
InstructBLIP,Arrest,medium,Arrest038_x264,73,73,1.0,True,"[0.85, 0.85, 0.85, 0.84, 0.84, 0.84, 0.84, 0.84, 0.84, 0.84]"
InstructBLIP,Arrest,medium,Arrest039_x264,527,326,0.6186,True,"[0.86, 0.85, 0.85, 0.85, 0.85, 0.84, 0.84, 0.84, 0.84, 0.84]"
InstructBLIP,Arrest,medium,Arrest040_x264,59,39,0.661,True,"[0.87, 0.87, 0.87, 0.87, 0.86, 0.86, 0.86, 0.86, 0.86, 0.86]"
InstructBLIP,Arrest,medium,Arrest041_x264,128,95,0.7422,True,"[0.87, 0.86, 0.86, 0.86, 0.86, 0.85, 0.85, 0.85, 0.85, 0.85]"
InstructBLIP,Arrest,medium,Arrest042_x264,53,46,0.8679,True,"[0.85, 0.84, 0.84, 0.83, 0.83, 0.83, 0.82, 0.82, 0.82, 0.82]"
InstructBLIP,Arrest,medium,Arrest043_x264,359,358,0.9972,True,"[0.85, 0.84, 0.84, 0.84, 0.84, 0.84, 0.84, 0.84, 0.84, 0.84]"
InstructBLIP,Arrest,medium,Arrest044_x264,113,63,0.5575,True,"[0.89, 0.89, 0.89, 0.89, 0.89, 0.89, 0.89, 0.89, 0.89, 0.89]"
InstructBLIP,Arrest,medium,Arrest046_x264,262,258,0.9847,True,"[0.86, 0.86, 0.86, 0.86, 0.86, 0.86, 0.86, 0.86, 0.86, 0.86]"
InstructBLIP,Arrest,medium,Arrest047_x264,2102,1136,0.5404,True,"[0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87]"
InstructBLIP,Arrest,medium,Arrest048_x264,135,94,0.6963,True,"[0.84, 0.83, 0.83, 0.82, 0.82, 0.82, 0.82, 0.82, 0.82, 0.82]"
InstructBLIP,Arrest,medium,Arrest049_x264,393,387,0.9847,True,"[0.87, 0.86, 0.86, 0.86, 0.86, 0.86, 0.86, 0.86, 0.86, 0.86]"
InstructBLIP,Arrest,medium,Arrest050_x264,245,168,0.6857,True,"[0.82, 0.81, 0.81, 0.81, 0.81, 0.81, 0.81, 0.81, 0.8, 0.8]"
InstructBLIP,Arrest,medium,Arrest051_x264,360,26,0.0722,True,"[0.82, 0.82, 0.8, 0.79, 0.79, 0.79, 0.78, 0.78, 0.78, 0.78]"
InstructBLIP,Arson,easy,Arson001_x264,139,93,0.6691,True,"[0.9, 0.9, 0.9, 0.89, 0.89, 0.89, 0.88, 0.88, 0.88, 0.87]"
InstructBLIP,Arson,easy,Arson002_x264,147,73,0.4966,True,"[0.88, 0.87, 0.86, 0.86, 0.86, 0.86, 0.86, 0.86, 0.86, 0.85]"
